variant,seed,train_days,test_days,train_end,valid_start,valid_end,test_start,test_end,test_sharpe,test_sortino,test_cagr,test_volatility,test_max_drawdown,test_calmar,test_final_wealth,test_action_entropy,test_mean_turnover,test_total_cost
2018,0,2399,251,2015-12-31,2016-01-01,2017-12-31,2018-01-01,2018-12-31,-0.10005510883654638,-0.15028420130703624,-0.007584931267291206,0.05892718931042707,0.07416392477573208,-0.10227251713319718,98549.09881922696,0.6592146182148859,0.14116756812511214,0.007058378406255607
2018,1,2399,251,2015-12-31,2016-01-01,2017-12-31,2018-01-01,2018-12-31,1.3050854671724454,1.9969354497889087,0.1205286476609162,0.09032513044839513,0.04627545735989225,2.604591170726721,110985.38474790505,1.1797331941523614,0.17330706656276607,0.008665353328138304
2018,2,2399,251,2015-12-31,2016-01-01,2017-12-31,2018-01-01,2018-12-31,1.8167012471329482,3.0977554963706564,0.015115688226932322,0.008277166270460353,0.004075044459374899,3.7093308742086775,101499.48274943259,-0.0,0.0,0.0
2018,-1,2399,251,2015-12-31,2016-01-01,2017-12-31,2018-01-01,2018-12-31,1.1236942379405752,2.416236736784966,0.052156773362181275,0.04618169080125806,0.020144293906151356,2.5891586771504778,104858.02615669512,0.19567003495657082,0.06,0.003
2019,0,2651,252,2016-12-31,2017-01-01,2018-12-31,2019-01-01,2019-12-31,3.4665060802859706,5.831907265198807,0.27506321937752487,0.07085240744986089,0.031119560696479365,8.838917170467752,125331.48971026819,1.1612301737342385,0.30537912610302376,0.015268956305151191
2019,1,2651,252,2016-12-31,2017-01-01,2018-12-31,2019-01-01,2019-12-31,1.88364475145932,2.7844938982569274,0.12691933585538173,0.06455191857266158,0.039271486343549156,3.2318444671302813,110525.45703039091,1.3760605832870914,0.36910673290132445,0.018455336645066222
2019,2,2651,252,2016-12-31,2017-01-01,2018-12-31,2019-01-01,2019-12-31,3.081883283916631,5.253713529513237,0.19523270125353864,0.05843937704505056,0.022308726881009044,8.751404878228895,118379.73389367579,1.0949439832873797,0.16389518988713214,0.008194759494356607
2019,-1,2651,252,2016-12-31,2017-01-01,2018-12-31,2019-01-01,2019-12-31,2.7999408809010626,4.628877216960433,0.22249931095178122,0.07271888602926042,0.029958489799402854,7.426920129873041,120794.0423582279,1.2689285987263443,0.20763435243027564,0.010381717621513785
2020,0,2902,253,2017-12-31,2018-01-01,2019-12-31,2020-01-01,2020-12-31,0.8167808710906052,1.0484204438083602,0.14384653395468194,0.18604796163743192,0.17855607628129322,0.8056098507007364,112296.85090765524,1.5604285263915556,0.34694476917308137,0.01734723845865407
2020,1,2902,253,2017-12-31,2018-01-01,2019-12-31,2020-01-01,2020-12-31,1.199230466314477,1.7594528336600161,0.2551217457559227,0.2074208534611552,0.14633052693147486,1.7434622228579395,124430.07843806248,1.0888139600998035,0.13706602601042261,0.0068533013005211306
2020,2,2902,253,2017-12-31,2018-01-01,2019-12-31,2020-01-01,2020-12-31,0.6993441137515021,0.9386996887080014,0.13622104857768713,0.21636528710708566,0.2378672329832564,0.5726768116366654,112431.14182693153,1.3124997104450706,0.1903945737166317,0.009519728685831586
2020,-1,2902,253,2017-12-31,2018-01-01,2019-12-31,2020-01-01,2020-12-31,1.083007405069594,1.5462691416204077,0.23574516974951165,0.21737595694373174,0.19874037489733865,1.186196664222296,121784.06439900125,1.4908382594308964,0.25820588544902057,0.01291029427245103
