variant,cost_bps,seed,test_sharpe,test_sortino,test_cagr,test_volatility,test_max_drawdown,test_calmar,test_final_wealth,test_action_entropy,test_mean_turnover,test_total_cost
0 bps,0.0,0,0.3828682112109955,0.5438567279346954,0.03589355510837344,0.10705724921714783,0.22584628491654524,0.15892913678715961,119182.09340276965,1.4847506166501576,0.24900735790129683,0.0
0 bps,0.0,1,0.22994603338998032,0.33942003728167314,0.01930276890221494,0.10866283783145973,0.24080314843156947,0.08015995234256801,109981.16721262022,1.6963583492198284,0.3226355123025792,0.0
0 bps,0.0,2,0.9473448127534225,1.429968594680478,0.10188388165268725,0.10864115688785013,0.17268426849590668,0.590000945309632,162060.03084284702,1.7399026462232947,0.28089174028284913,0.0
5 bps,5.0,0,1.0183361931623867,1.5129002604072619,0.09281808039942985,0.09125974954875275,0.19859904407054485,0.4673641851290065,144362.60376219708,1.0803841781203036,0.2967799165701634,0.07449175905911103
5 bps,5.0,1,0.5904516225098478,0.8473916679416468,0.061263968947431025,0.11115479987875077,0.20840306753899074,0.2939686525294018,126603.0711350789,1.6129639350862086,0.23895457891669886,0.059977599308091406
5 bps,5.0,2,0.6086589869910959,0.8696216994678321,0.07115701404664687,0.1259709269115258,0.251525768447317,0.2829014875330794,136436.2848049168,1.409926448902907,0.12495510828766816,0.03136373218020471
10 bps,10.0,0,0.5743513930913671,0.862311669652143,0.060184208685019946,0.112766822110705,0.2947821177479386,0.20416505975604013,119922.97794948006,1.611215578853595,0.2172462713254164,0.10905762820535904
10 bps,10.0,1,0.5726702259408842,0.8136803721120378,0.050881105803464166,0.09445688308498601,0.203477400410084,0.25005777398826345,114912.29196470162,1.3845770760495855,0.21489876804865543,0.10787918156042503
10 bps,10.0,2,0.7337841829986453,1.0303955699113012,0.07299840715602635,0.10331329957841713,0.15981840929644286,0.45675843901451657,130434.2418755189,1.571484210866574,0.16903821758119988,0.08485718522576233
20 bps,20.0,0,0.05246995131619063,0.07522978238569648,-0.0007143815886215821,0.11758509248701574,0.324664990734989,-0.0022003653273620226,82958.4772677926,1.5034897857953098,0.182274842458602,0.1830039418284364
20 bps,20.0,1,0.8190863172435514,1.1855903113823245,0.08874497347193522,0.11139380689297877,0.19792765258092881,0.4483707673724322,125920.79001383558,1.256554930870196,0.1915297960334562,0.19229591521759004
20 bps,20.0,2,0.7400127714123554,1.0755254031661081,0.0744814217032157,0.10445625497240188,0.2298212122993698,0.32408419117637705,119498.59399388851,1.2777919939541196,0.17833286225302888,0.179046193702041
