rung,sharpe_median,sharpe_min,sharpe_max,sharpe_spread,cagr_median,turnover_median,minutes,sharpe_ensemble,cagr_ensemble,turnover_ensemble
S0 baseline,0.696097554399444,0.6816167079462028,0.7174051090707397,0.03578840112453696,0.10639804945153641,10.911562932935125,0.006416090329488118,,,
S1 smoothed+ensemble,0.7814908065854681,0.6986585007663513,0.8237612648236909,0.12510276405733967,0.10756176675544449,9.768090407154238,0.008118605613708496,0.799587298058124,0.12134824732962501,9.491776935002935
S2 +full equity action,0.47362928975623353,0.35984196031297366,0.5499163369301324,0.19007437661715876,0.08234590180477674,11.836465289388132,0.0071176926294962565,0.4276891001073336,0.07978082812407927,12.164688905718434
S3 +switch penalty,0.957212833767593,0.49491349303899057,0.9875072613318647,0.49259376829287416,0.13242319903530442,12.617382162191877,0.0014166474342346192,0.743725704137668,0.11476493849481506,7.401192964341766
S4 +stress sampling,0.9694374736369687,0.7817079300031713,1.093439895191666,0.31173196518849466,0.13117798136721648,11.41526106797182,0.0011924942334493001,1.1066010329395,0.16704069422238188,8.834115996372175
S5 +longer episodes,0.9810848692023545,0.6142774870411567,1.2095311316773985,0.5952536446362418,0.1537019818001235,11.799031971795033,0.006521856784820557,0.3486346106342213,0.05579942218844436,11.366468275944095
S6 stress sampling alone,1.1255785877035756,0.9704557130609135,1.2990919419297469,0.32863622886883337,0.14981749544155964,12.297230391938763,14.932291265328725,1.0211829026584944,0.13996980524288927,9.853982915879977
