configuration,best val Sharpe,val CAGR,val max drawdown,action entropy,selected step,wall time (s)
default,0.9916628959321132,0.12202071010171323,0.19492858581832895,1.2317295573608966,80000,339.1
tuned,1.6766573179029882,0.17745182395725023,0.11748514970977575,1.461852212785902,10000,287.3
