variant,seed,train_days,test_days,train_end,valid_start,valid_end,test_start,test_end,test_sharpe,test_sortino,test_cagr,test_volatility,test_max_drawdown,test_calmar,test_final_wealth,test_action_entropy,test_mean_turnover,test_total_cost
2018,0,2399,251,2015-12-31,2016-01-01,2017-12-31,2018-01-01,2018-12-31,0.08098602746444356,0.11505222152206696,0.003301599620297413,0.08438009491529226,0.10519939357810437,0.03138420772213073,98676.05982743739,1.4377995309243903,0.3318331281638949,0.016591656408194745
2018,1,2399,251,2015-12-31,2016-01-01,2017-12-31,2018-01-01,2018-12-31,-0.1892472667762473,-0.26954258199899334,-0.019434771991597377,0.0848196873895168,0.11083174247409733,-0.17535384320191041,97166.94158009365,1.2124719489111289,0.18531547524408534,0.009265773762204268
2018,2,2399,251,2015-12-31,2016-01-01,2017-12-31,2018-01-01,2018-12-31,1.419854117948325,2.088973783401203,0.08482378241359845,0.05855482105651254,0.026915217202237884,3.151517662898359,107114.80982415547,1.1950244679950173,0.2407079012517168,0.012035395062585842
2018,-1,2399,251,2015-12-31,2016-01-01,2017-12-31,2018-01-01,2018-12-31,0.5888001463234638,0.8721569156451112,0.04288425282203745,0.0762169480983301,0.07671009037660859,0.5590431794760896,103259.644905642,1.2253048825139428,0.1915404912983447,0.009577024564917236
2019,0,2651,252,2016-12-31,2017-01-01,2018-12-31,2019-01-01,2019-12-31,3.1932455704911202,5.625700674301165,0.24046431682440583,0.0682350513873609,0.029958489799402854,8.026583397044229,122176.22891654701,1.3138128473704798,0.2695061268991458,0.01347530634495729
2019,1,2651,252,2016-12-31,2017-01-01,2018-12-31,2019-01-01,2019-12-31,2.337787182452401,3.5316693227287974,0.10545565005073332,0.04329387307693581,0.020236744105217808,5.211097669784875,108919.47945132715,0.6312186103041044,0.28032400742561603,0.0140162003712808
2019,2,2651,252,2016-12-31,2017-01-01,2018-12-31,2019-01-01,2019-12-31,3.2441905929362482,5.499895824567131,0.25458794215326863,0.07070943100004505,0.04374989025591702,5.819167560513743,123896.04736824258,1.4985794550295513,0.21461412297688287,0.010730706148844143
2019,-1,2651,252,2016-12-31,2017-01-01,2018-12-31,2019-01-01,2019-12-31,3.322315077869616,6.049379876193802,0.22774730310653157,0.06236491868352632,0.016955087654194623,13.43238724278655,121228.78727898005,1.0167792054308318,0.2207617293192279,0.011038086465961394
2020,0,2902,253,2017-12-31,2018-01-01,2019-12-31,2020-01-01,2020-12-31,1.2722580416626559,1.8892255283486694,0.24016482270795914,0.18222232878054936,0.18139690892572802,1.323974174258357,122013.07770916002,1.305684033776771,0.29144314229097157,0.014572157114548578
2020,1,2902,253,2017-12-31,2018-01-01,2019-12-31,2020-01-01,2020-12-31,2.478528746027582,4.03836741493046,0.3664685043012419,0.12941025553430152,0.09516630535363346,3.850822020876637,134504.67509665407,1.1282465064660028,0.26633851685046317,0.01331692584252316
2020,2,2902,253,2017-12-31,2018-01-01,2019-12-31,2020-01-01,2020-12-31,0.6078808081506253,0.8155325352607893,0.11693122105856091,0.22312902718260755,0.2545450463397332,0.4593733908398144,110458.08134928119,1.3230244323052154,0.20474402324931418,0.01023720116246571
2020,-1,2902,253,2017-12-31,2018-01-01,2019-12-31,2020-01-01,2020-12-31,0.8766058906211749,1.2380697333875939,0.15700422783616141,0.18610838331502752,0.23694552414350323,0.6626174028975271,114563.70850415618,1.3401374516346973,0.17424438151814034,0.008712219075907015
