variant,seed,total_steps,selected_step,wall_time,val_sharpe,val_sortino,val_cagr,val_volatility,val_max_drawdown,val_calmar,val_final_wealth,val_action_entropy,val_mean_turnover,val_total_cost,test_sharpe,test_sortino,test_cagr,test_volatility,test_max_drawdown,test_calmar,test_final_wealth,test_action_entropy,test_mean_turnover,test_total_cost
default @ 60k,0,60000,55000,143.5,1.5338341650706449,2.1699795810558102,0.18036802007816655,0.11226651226837016,0.16421343946564726,1.0983755085155424,156396.5613978337,1.4341090029388073,0.32832419770696186,0.04957695385375124,0.49920035739629726,0.7098835738447945,0.05139898196656323,0.11325795363735094,0.2474145011416662,0.20774441970615484,116668.9312486826,1.5443886803101021,0.3793011960672126,0.09520460021287036
default @ 60k,1,60000,55000,140.9,1.4581739515198175,2.3274490558820977,0.1611876845012803,0.1063729616854892,0.09005612964522236,1.7898580045165375,150551.4068383806,1.3803381734413716,0.25554305286872375,0.03858700098317729,0.6754724605776692,0.9875952847782318,0.05449714976569853,0.08375570510997717,0.13289013325520327,0.4100917685216085,121604.49620850128,1.0860440341109134,0.2725964644636991,0.06842171258038847
default @ 60k,2,60000,45000,198.5,1.3393528799272896,1.9112930638150198,0.1954107972993384,0.1407322339059463,0.1872706432961524,1.0434673254702984,164830.73615143713,1.375213341741818,0.23178944563180925,0.0350002062904032,0.375285056510295,0.522090410566133,0.032859008696775716,0.09931168155800991,0.20799664112091265,0.15797855445980066,110668.91877543401,1.3892948687561952,0.2369977485966036,0.059486434897747506
tuned @ 60k,0,60000,5000,121.4,0.9891245011861266,1.4374123953026665,0.11304246489339342,0.11496085502565312,0.1777158346932599,0.6360854961996287,134117.78484404943,1.516153729603411,0.18085393778706998,0.027308944605847568,0.6327626374845816,0.9339073114626341,0.0742371835160276,0.12559522600254008,0.25610287674195775,0.28987250928394276,136539.80917714693,1.4316329820006581,0.17883711863862262,0.044888116778294275
tuned @ 60k,1,60000,5000,143.7,1.5213009755176554,2.1790817965930143,0.18785202161258985,0.11776019471245884,0.09688010203011832,1.9390155220335128,162616.19667009634,1.5875931785861876,0.19553332114564573,0.029525531492992505,0.509900920932456,0.7333105798407068,0.05808597897140677,0.12634041145447608,0.20297112785748417,0.28617852984583964,125287.44564638018,1.6393265600799642,0.2211414690146853,0.05550650872268601
tuned @ 60k,2,60000,5000,127.8,1.1502884148708867,1.5880416551879435,0.13112823713036703,0.11267391571718391,0.16331173807814414,0.8029321019633174,141135.74478461596,1.2968353010603537,0.1628925611985511,0.02459677674098122,0.4695201976633848,0.6794928228607547,0.049482859129626355,0.11756043196572431,0.2295917272024126,0.2155254448083893,120807.50746138889,1.5259293055853425,0.20434446945892398,0.05129046183418992
default @ 120k,0,120000,80000,314.8,0.9916628959321132,1.4584072470108522,0.12202071010171323,0.12383774234419864,0.19492858581832895,0.6259764805118683,134863.3011072093,1.2317295573608966,0.30347375469114557,0.045824536958362985,0.6604651055984095,0.9234184005339071,0.05772809320942929,0.0912985520263415,0.22595882939264578,0.255480581859078,122496.15353802199,1.4578348402515953,0.3041370798657798,0.07633840704631073
default @ 120k,1,120000,50000,356.2,1.924096483929982,3.3517554677872776,0.19889180182127908,0.09671973543546726,0.08597393597998837,2.3133964910897404,164872.0975002391,1.2433691812119818,0.2877721841213333,0.04345359980232134,0.4053761001857752,0.5923503282910112,0.04079766002109686,0.11484967911469147,0.1769241181953377,0.23059411253390075,112307.07800789094,1.4350004691710614,0.330208976481831,0.08288245309693959
default @ 120k,2,120000,105000,202.5,1.4491210339733,2.103180928617302,0.18762612660545464,0.12400576034118098,0.19492858581832917,0.9625377715524991,161019.2369864837,1.3348273709273832,0.257073070019897,0.03881803357300444,0.316770974519205,0.4451478788096121,0.030922174215092912,0.1182148735085883,0.24370796702744046,0.12688208183038682,109053.10758230813,1.2425226436746533,0.2583726219904205,0.06485152811959555
tuned @ 120k,0,120000,10000,265.8,1.6766573179029882,2.5000436352736988,0.17745182395725023,0.10046565100249509,0.11748514970977575,1.5104191840041954,158603.03868502466,1.461852212785902,0.18652597468715476,0.028165422177760368,0.3872822545467433,0.5576675228010851,0.04290519461720832,0.13034668406335695,0.2645323530643193,0.16219261697179324,117598.40701893097,1.4652155822497703,0.18697260403990495,0.04693012361401615
tuned @ 120k,1,120000,100000,366.1,1.2912085798929114,1.8463004844591464,0.17459572976199667,0.1313598341054441,0.1694174788743995,1.0305650333247856,154049.42650570665,1.2004872447466797,0.33117612142227193,0.05000759433476307,0.7700425574160628,1.122633495747572,0.05906292795393564,0.07853121709988731,0.09809191024614083,0.602118235904773,121930.4410847613,1.1636706133031223,0.3475468517595262,0.08723425979164107
tuned @ 120k,2,120000,85000,410.3,1.1980939736241858,1.7306802725844344,0.1663941686333983,0.13627794784113767,0.18709780866701442,0.8893432254438466,153748.5409568217,0.9211450277067079,0.2051515909388763,0.03097789023177032,0.32844117618169977,0.44874602807919733,0.02907637873456559,0.10366649851744258,0.2099593179374718,0.13848577438808815,107778.69204852574,1.1451761719104065,0.26966285436497683,0.06768537644560918
