learning_rate,gamma,hidden_sizes,val_sharpe,val_cagr,val_max_drawdown,val_action_entropy,best_step,seconds
0.0003,0.95,"(64, 32)",1.5054053374759844,0.1545483875742213,0.1522853693581574,1.6826494481266254,16000,42.9
0.001,0.95,"(64, 32)",1.4265234242217448,0.1672497878416972,0.15228536935815762,1.7429765705954516,8000,44.9
0.0003,0.99,"(64, 32)",1.399596398307966,0.147811044011394,0.1522853693581574,1.720441405914514,16000,48.6
0.0003,0.99,"(128, 64)",1.3851502656472336,0.15854852103853512,0.15228536935815762,1.620910364691816,12000,48.8
0.001,0.95,"(256, 128)",1.3795088654863557,0.16897775299047457,0.15967356576940195,1.5260285296005496,20000,63.0
0.001,0.99,"(128, 64)",1.3646501314204305,0.15124640910077858,0.1521050947777045,1.6510823671826624,8000,26.5
0.003,0.95,"(128, 64)",1.3645131309266332,0.1391476183699678,0.14318515800480847,1.7779110898893695,4000,56.1
0.003,0.99,"(64, 32)",1.2910020676670446,0.13729565845786196,0.1522853693581574,1.570947749861228,4000,49.3
0.003,0.99,"(128, 64)",1.2762184181802472,0.13675418569259934,0.1522853693581575,1.6190898151877193,16000,60.7
0.003,0.99,"(256, 128)",1.269569844389939,0.10517676139852505,0.09626039780665574,1.5616407233337815,16000,95.2
0.001,0.95,"(128, 64)",1.1611839214845618,0.11158487386357074,0.1522853693581574,1.6673909475705395,4000,48.9
0.0003,0.95,"(256, 128)",1.0776861387896688,0.11202482014121684,0.15330031937730648,1.6574142040011304,8000,76.4
0.001,0.99,"(256, 128)",1.0393778309999202,0.11758505217952764,0.15967356576940217,1.634200696934764,4000,46.1
0.001,0.99,"(64, 32)",1.0210483592800048,0.12700127588626797,0.17133075461831204,1.6127268580075305,8000,24.5
0.0003,0.95,"(128, 64)",1.0150114923806817,0.13195885093639648,0.19210251617750274,1.4595629913439876,12000,51.3
0.0003,0.99,"(256, 128)",0.9612361033198851,0.1013020262401989,0.16211495148521748,1.7081239288686216,8000,73.9
0.003,0.95,"(64, 32)",0.9412922980032096,0.09335818096553905,0.1572079182479268,1.7271070661024577,4000,24.9
0.003,0.95,"(256, 128)",0.8294047736184337,0.10503023578449211,0.21025333990276895,1.6416221177521393,20000,94.3
