,Sharpe difference,95% CI low,95% CI high,Bootstrap SE,p-value,Holm-adjusted,reject at alpha
100% SPY,-0.5009981581783771,-1.020003315426055,-0.005569939406211174,0.25825669185769706,0.0525,0.4725,False
Trend following,-0.46409162170369384,-1.2703733310705596,0.29192686524919637,0.3988325535726093,0.242,1.0,False
All cash (SHY),-0.4540983964534458,-1.3308062384338541,0.5061542976240038,0.4682192745024838,0.337,1.0,False
Equal weight,-0.4012383040481334,-0.9174326340064725,0.13175167090236617,0.27300143596157606,0.1455,1.0,False
Equity-heavy 80/20,-0.3585926581404844,-0.8010827971067009,0.052598964292443526,0.21620584881843463,0.0975,0.78,False
60/40 buy & hold,-0.23174955642712386,-0.6394461855148468,0.1563739166605093,0.20477022932074268,0.244,1.0,False
Volatility target,-0.23082380850330592,-0.8666012802017834,0.3601926562959078,0.3180169369482165,0.481,1.0,False
60/40 rebalanced,-0.1010712777491799,-0.5067462173464559,0.28965718630693965,0.20270994390216793,0.6105,1.0,False
Random,0.12216538902299257,-0.5178955639715782,0.6955143770606308,0.31227959686827494,0.7135,1.0,False
