date,wealth,return,drawdown,action,w_SPY,w_TLT,w_GLD,w_SHY
2024-01-19,98613.42930521064,0.008799604301036159,0.013865706947893686,1,0.6065547365846046,0.39344526341539543,0.0,0.0
2024-01-22,98970.81673316528,0.003624125339445655,0.010291832668347212,1,0.6056423044087074,0.39435769559129247,0.0,0.0
2024-01-23,98836.3569664683,-0.0013585799444243392,0.011636430335317027,1,0.6082349041520753,0.3917650958479248,0.0,0.0
2024-01-24,98675.28409613014,-0.001629692506703851,0.013247159038698553,1,0.60989380420778,0.3901061957922199,0.0,0.0
2024-01-25,99254.23398991853,0.00587717492555828,0.0074576601008147225,1,0.5997385755023753,0.40026142449762464,0.0,0.0
2024-01-26,99102.4994462993,-0.0015287463065266577,0.00897500553700692,1,0.5998937924955441,0.40010620750445586,0.0,0.0
2024-01-29,100029.94428516364,0.00935844044344108,0.0,1,0.5990384702392777,0.40096152976072225,0.0,0.0
2024-01-30,100347.22477349655,0.003171855093994783,0.0,1,0.5966825664052278,0.4033174335947722,0.0,0.0
2024-01-31,99767.67937516424,-0.005775400362495884,0.005775400362495908,1,0.5903558830863793,0.40964411691362074,0.0,0.0
2024-02-01,101370.99266949964,0.016467251926675138,0.0,5,0.19933510823917427,0.6018585513393877,0.19880634042143805,0.0
2024-02-02,100045.54243492357,-0.013075241739986046,0.013075241739986088,5,0.20410226735562523,0.5963617876556755,0.19953594498869925,0.0
2024-02-05,98656.29436053327,-0.013886156650047355,0.02677983353499469,5,0.20622275845115443,0.5925472238240037,0.20123001772484192,0.0
2024-02-06,99390.45582052786,0.007441607905032784,0.019537510650891377,5,0.20529374672456532,0.5939190500990266,0.20078720317640816,0.0
2024-02-07,99269.65508481598,-0.0012154158537113823,0.020729180304415618,5,0.20725791608473418,0.5917638569462315,0.20097822696903433,0.0
2024-02-08,98913.37277190243,-0.0035808288163386597,0.0242438180082718,5,0.20080736903336732,0.5986549091235154,0.20053772184311722,0.0
2024-02-09,98831.64101667031,-0.0008262963130435823,0.025050081743881014,5,0.20213493830276344,0.5979394567706906,0.199925604926546,0.0
2024-02-12,98840.54024702334,9.004434472081839e-05,0.024962293017356085,5,0.20202803125994429,0.5985865169271598,0.1993854518128959,0.0
2024-02-13,97279.98611814364,-0.015788603795361213,0.04035677705844243,5,0.20244173581177954,0.5977676619390833,0.19979060224913714,0.0
2024-02-14,97743.30519772945,0.0047627379286744554,0.035786247882543254,5,0.20331317039646868,0.597961800233628,0.19872502936990344,0.0
2024-02-15,98311.11798437215,0.0062083739397113405,0.030184913894486742,1,0.6004121412767209,0.39958785872327895,0.0,0.0
2024-02-16,97789.79406803711,-0.005302797150754609,0.035327646569845994,1,0.6006070769986714,0.3993929230013285,0.0,0.0
2024-02-20,97500.12398748937,-0.002962170882026888,0.038185170925873146,1,0.5990750308214555,0.4009249691785444,0.0,0.0
2024-02-21,97275.1547484,-0.002307373876962675,0.04040443733695409,1,0.6010044265550001,0.3989955734449999,0.0,0.0
2024-02-22,98674.53557017965,0.014385798978157418,0.026599888472151556,1,0.6047427991339954,0.3952572008660045,0.0,0.0
2024-02-23,99243.26654604985,0.00576847578447842,0.020989496772383598,1,0.5969702606393156,0.40302973936068454,0.0,0.0
2024-02-26,98906.9822517646,-0.0033884847404656807,0.02430685892332607,1,0.5968060783547868,0.4031939216452132,0.0,0.0
2024-02-27,98735.4020633146,-0.0017347631536593264,0.025999455433743934,1,0.5989538368093182,0.4010461631906818,0.0,0.0
2024-02-28,98908.6449606744,0.001754617834530157,0.024290456707405927,1,0.5971145272053263,0.4028854727946736,0.0,0.0
2024-02-29,99402.19574153768,0.004989966054630678,0.019421699207196608,1,0.5962857262671805,0.4037142737328195,0.0,0.0
2024-03-01,100209.49851424771,0.00812532332485588,0.01145785519767728,1,0.600751585478174,0.399248414521826,0.0,0.0
2024-03-04,99984.00502498634,-0.00225022071365121,0.013682293208228669,1,0.601460759572127,0.3985392404278731,0.0,0.0
2024-03-05,99950.48979882179,-0.0003352058777419318,0.014012912700866242,1,0.595649347551789,0.404350652448211,0.0,0.0
2024-03-06,100489.33026481862,0.005391073791448161,0.008697383555821614,1,0.595457498324084,0.404542501675916,0.0,0.0
2024-03-07,101045.18984140082,0.0055315283236275605,0.003213965055674617,1,0.5980601285373398,0.4019398714626602,0.0,0.0
2024-03-08,100503.85415611218,-0.005156463671062861,0.008554108927537052,3,0.7993197990393858,0.20068020096061423,0.0,0.0
2024-03-11,100424.24951724392,-0.0007920555837053139,0.009339389181502677,3,0.7992655564529164,0.20073444354708356,0.0,0.0
2024-03-12,101119.15535838316,0.0069197016107139875,0.0024843133571509357,3,0.802311875391187,0.19768812460881294,0.0,0.0
2024-03-13,100895.0658548325,-0.0022160935062841463,0.004694901392736761,3,0.8028333817670706,0.1971666182329293,0.0,0.0
2024-03-14,100429.44487872823,-0.0046149033370394225,0.009288138213671693,3,0.8049611410285341,0.19503885897146592,0.0,0.0
2024-03-15,99870.77254469035,-0.00555790046700498,0.014799303876804948,3,0.7989471519367327,0.20105284806326726,0.0,0.0
2024-03-18,100284.50128542127,0.004142640836644921,0.01071797124075391,3,0.8003797823194793,0.19962021768052074,0.0,0.0
2024-03-19,100786.72225904003,0.005007962019867834,0.005763684413789938,3,0.800817150826238,0.19918284917376203,0.0,0.0
2024-03-20,101526.75553186046,0.0073425671182996,0.0,3,0.8023328533674176,0.19766714663258245,0.0,0.0
2024-03-21,101839.17561634556,0.0030772192300290895,0.0,3,0.802514978918453,0.19748502108154692,0.0,0.0
2024-03-22,101946.9850986796,0.0014617281995861402,0.0,2,0.3986589197671513,0.4032348514923935,0.19810622874045514,0.0
2024-03-25,101693.6276263584,-0.002485188473949958,0.002485188473950073,2,0.39854798240535594,0.4022178224765215,0.1992341951181226,0.0
2024-03-26,101798.01812841429,0.0010265196010060835,0.0014612199676244941,2,0.39740388463462434,0.4029225733781979,0.19967354198717766,0.0
2024-03-27,102691.9658494643,0.008781582760504354,0.0,2,0.39725503720097244,0.4033764238722153,0.19936853892681244,0.0
