date,wealth,return,drawdown,action,w_SPY,w_TLT,w_GLD,w_SHY
2018-01-03,100000.0,0.0,0.0,0,0.0,0.0,0.0,1.0
2018-01-04,99952.24703205856,-0.0004775296794145012,0.0004775296794143902,0,0.0,0.0,0.0,1.0
2018-01-05,99952.24703205856,0.0,0.0004775296794143902,0,0.0,0.0,0.0,1.0
2018-01-08,99952.24703205856,0.0,0.0004775296794143902,0,0.0,0.0,0.0,1.0
2018-01-09,99916.41582440621,-0.0003584832629209833,0.0008358417559378717,0,0.0,0.0,0.0,1.0
2018-01-10,99952.24703205857,0.0003586118192562271,0.00047752967941427915,0,0.0,0.0,0.0,1.0
2018-01-11,99916.41582440623,-0.0003584832629209833,0.0008358417559377607,0,0.0,0.0,0.0,1.0
2018-01-12,99904.51603971212,-0.00011909739351556592,0.0009548396028787876,0,0.0,0.0,0.0,1.0
2018-01-16,99892.59427942302,-0.00011933154537646651,0.0010740572057698072,0,0.0,0.0,0.0,1.0
2018-01-17,99856.76307177068,-0.00035869733798399306,0.0014323692822931777,0,0.0,0.0,0.0,1.0
2018-01-18,99832.90856339496,-0.0002388872585282753,0.00167091436605038,0,0.0,0.0,0.0,1.0
2018-01-19,99868.6958198573,0.00035847153986923175,0.0013130418014269951,0,0.0,0.0,0.0,1.0
2018-01-22,99821.01976649836,-0.0004773873631527259,0.001789802335016466,0,0.0,0.0,0.0,1.0
2018-01-23,99880.71647032393,0.0005980374070031491,0.0011928352967607303,0,0.0,0.0,0.0,1.0
2018-01-24,99856.76307177069,-0.00023982005135447793,0.0014323692822930667,0,0.0,0.0,0.0,1.0
2018-01-25,99832.90856339497,-0.0002388872585282753,0.001670914366050269,0,0.0,0.0,0.0,1.0
2018-01-26,99773.29976194943,-0.0005970856935185731,0.0022670023805057005,0,0.0,0.0,0.0,1.0
2018-01-29,99737.5344810821,-0.00035846545070339353,0.0026246551891789816,0,0.0,0.0,0.0,1.0
2018-01-30,99749.4013023837,0.00011898049579173176,0.0025059869761629994,0,0.0,0.0,0.0,1.0
2018-01-31,99749.4013023837,0.0,0.0025059869761629994,0,0.0,0.0,0.0,1.0
2018-02-01,99708.82336621072,-0.0004067987942100171,0.002911766337892807,0,0.0,0.0,0.0,1.0
2018-02-02,99720.78907768984,0.00012000654581156844,0.00279210922310158,0,0.0,0.0,0.0,1.0
2018-02-05,99899.90116476156,0.0017961358782687675,0.001000988352384491,0,0.0,0.0,0.0,1.0
2018-02-06,99828.21677386187,-0.000717562180381548,0.0017178322613812247,0,0.0,0.0,0.0,1.0
2018-02-07,99756.6312731397,-0.000717086842133341,0.0024336872686029354,0,0.0,0.0,0.0,1.0
2018-02-08,95918.8801299088,-0.03750864679823518,0.0408111987009121,6,1.0,0.0,0.0,0.0
2018-02-09,97359.7436732385,0.015021688549514467,0.02640256326761503,6,1.0,0.0,0.0,0.0
2018-02-12,98789.43803271935,0.014684656158085563,0.012105619672806545,6,1.0,0.0,0.0,0.0
2018-02-13,99035.14066398084,0.002487134618380127,0.009648593360191637,6,1.0,0.0,0.0,0.0
2018-02-14,100371.72182160696,0.013496029274710164,0.0,6,1.0,0.0,0.0,0.0
2018-02-15,101652.47647340222,0.012760114388309152,0.0,6,1.0,0.0,0.0,0.0
2018-02-16,101682.2825341252,0.0002932152934884691,0.0,6,1.0,0.0,0.0,0.0
2018-02-20,101045.60669905119,-0.006261423516533915,0.006261423516533915,6,1.0,0.0,0.0,0.0
2018-02-21,100542.99989699031,-0.0049740589272506686,0.011204337754244897,6,1.0,0.0,0.0,0.0
2018-02-22,100673.30919893959,0.0012960554397898338,0.009922803757350662,6,1.0,0.0,0.0,0.0
2018-02-23,101423.9972604133,0.008263284769621192,0.002540120729736861,5,0.20152263178855181,0.6003677749927099,0.19810959321873836,0.0
2018-02-26,101731.38452646145,0.003030715356829104,0.0,5,0.20324677270436795,0.5987568370864066,0.19799639020922538,0.0
2018-02-27,101175.30882145737,-0.005466117536810265,0.0054661175368103665,5,0.2018121114632427,0.6011815040789333,0.19700638445782392,0.0
2018-02-28,101334.35638298682,0.0015719997634020572,0.0039027105088829117,5,0.19945412435095397,0.6040530473301914,0.1964928283188545,0.0
2018-03-01,101413.71572422261,0.0007831434872479383,0.003122623403952751,5,0.19640015647830875,0.607700574456121,0.19589926906557023,0.0
2018-03-02,101854.56091531517,0.0051547399123264,0.0,6,1.0,0.0,0.0,0.0
2018-03-05,103031.82054723737,0.011558241686408177,0.0,6,1.0,0.0,0.0,0.0
2018-03-06,103293.00761378967,0.00253501360225461,0.0,6,1.0,0.0,0.0,0.0
