date,wealth,return,drawdown,action,w_SPY,w_TLT,w_GLD,w_SHY
2019-01-03,99582.29277057548,-0.0031802525467919287,0.004177072294245132,2,0.39170050449046195,0.4058423967207376,0.20245709878880053,0.0
2019-01-04,100258.01326373075,0.006785548658856784,0.0,2,0.4020924415070443,0.39844106516101363,0.19946649333194205,0.0
2019-01-07,100527.26139639114,0.00268555224560568,0.0,2,0.40417737434886475,0.39620237148943493,0.1996202541617002,0.0
2019-01-08,100749.96939196234,0.002215399011946057,0.0,2,0.40707292454406657,0.3942874670423873,0.19863960841354608,0.0
2019-01-09,101007.93045089032,0.002560408310640723,0.0,2,0.40793089756964324,0.39266514909006933,0.1994039533402873,0.0
2019-01-10,101123.36400497655,0.0015354878626912206,0.0,3,0.801591319816553,0.19840868018344707,0.0,0.0
2019-01-11,101232.9583688587,0.0010837689683340598,0.0,3,0.8010328383238184,0.19896716167618167,0.0,0.0
2019-01-14,100663.27233953585,-0.005627475858673524,0.005627475858673514,3,0.8006513368397432,0.19934866316025682,0.0,0.0
2019-01-15,101513.69142622809,0.008448156581119172,0.0,3,0.8030433253244194,0.19695667467558062,0.0,0.0
2019-01-16,101730.95345463998,0.0021402238984658496,0.0,3,0.8032673664796779,0.1967326335203221,0.0,0.0
2019-01-17,101812.45541344337,0.0014052671377607906,0.0,5,0.20123454546016803,0.5993074557034647,0.19945799883636736,0.0
2019-01-18,101584.00999019596,-0.0022437866007623706,0.0022437866007624097,5,0.20437154357495066,0.5975063578139034,0.1981220986111459,0.0
2019-01-22,101786.26451134917,0.00199100745454667,0.00025724654206438213,5,0.20120977562161083,0.6003592488877543,0.198430975490635,0.0
2019-01-23,101775.47668846745,-0.00010598505538559994,0.00036320433316106016,5,0.20165212730977275,0.6001736450586262,0.19817422763160095,0.0
2019-01-24,102155.84653031036,0.0037373427688009446,0.0,5,0.2010080960888624,0.6018648757869063,0.19712702812423133,0.0
2019-01-25,101980.52299248846,-0.0007169529176391798,0.0017162359647215908,0,0.0,0.0,0.0,1.0
2019-01-28,101992.71392686607,0.00011954179111728358,0.0015968993355254257,0,0.0,0.0,0.0,1.0
2019-01-29,102041.49974940247,0.00047832654567248056,0.0011193366291958329,0,0.0,0.0,0.0,1.0
2019-01-30,102175.68836766014,0.0013150396513890161,0.0,0,0.0,0.0,0.0,1.0
2019-01-31,102261.08012086838,0.0008357345526361915,0.0,0,0.0,0.0,0.0,1.0
2019-02-01,102141.313024619,-0.0011711894310898474,0.0011711894310897364,0,0.0,0.0,0.0,1.0
2019-02-04,102141.313024619,0.0,0.0011711894310897364,0,0.0,0.0,0.0,1.0
2019-02-05,102141.313024619,0.0,0.0011711894310897364,0,0.0,0.0,0.0,1.0
2019-02-06,102190.1871872596,0.00047849553910483955,0.0006932543009030567,0,0.0,0.0,0.0,1.0
2019-02-07,102263.53155875955,0.000717724211284132,0.0,0,0.0,0.0,0.0,1.0
2019-02-08,102300.15957445744,0.000358172802558121,0.0,0,0.0,0.0,0.0,1.0
2019-02-11,102263.53155875955,-0.00035804456073429414,0.00035804456073429414,0,0.0,0.0,0.0,1.0
2019-02-12,102251.2633267908,-0.00011996683257220475,0.0004779684398347195,0,0.0,0.0,0.0,1.0
2019-02-13,102177.96312534294,-0.0007168635287526648,0.00119448933044497,0,0.0,0.0,0.0,1.0
2019-02-14,102312.39467888711,0.0013156609256270713,0.0,0,0.0,0.0,0.0,1.0
2019-02-15,102263.53155875955,-0.00047758749348914,0.00047758749348914,0,0.0,0.0,0.0,1.0
2019-02-19,102336.83176020741,0.0007167775289056433,0.0,0,0.0,0.0,0.0,1.0
2019-02-20,102324.64082582982,-0.00011912557940185753,0.00011912557940196855,0,0.0,0.0,0.0,1.0
2019-02-21,102287.99072510589,-0.0003581747312098038,0.000477257642839346,0,0.0,0.0,0.0,1.0
2019-02-22,102361.24675650166,0.0007161743121206765,0.0,0,0.0,0.0,0.0,1.0
2019-02-25,102349.05582212406,-0.00011909716581104401,0.00011909716581115504,0,0.0,0.0,0.0,1.0
2019-02-26,102397.92998476465,0.00047752431371250736,0.0,0,0.0,0.0,0.0,1.0
2019-02-27,102373.49290344436,-0.00023864819653995895,0.00023864819653995895,0,0.0,0.0,0.0,1.0
2019-02-28,102349.05582212408,-0.00023870516309665302,0.00047729639307980687,0,0.0,0.0,0.0,1.0
2019-03-01,102280.5039012762,-0.0006697855715154244,0.0011467622783577491,0,0.0,0.0,0.0,1.0
2019-03-04,102304.96306762254,0.00023913810954567793,0.0009078984033753512,0,0.0,0.0,0.0,1.0
2019-03-05,102317.23129959128,0.00011991824835155818,0.0007880890286099396,0,0.0,0.0,0.0,1.0
2019-03-06,102390.69713873448,0.0007180202025609539,7.063468989310095e-05,0,0.0,0.0,0.0,1.0
2019-03-07,102476.43120984643,0.0008373228575226932,0.0,0,0.0,0.0,0.0,1.0
2019-03-08,102513.10339559641,0.00035785970800339406,0.0,0,0.0,0.0,0.0,1.0
2019-03-11,102488.66631427612,-0.00023838007543275364,0.00023838007543275364,0,0.0,0.0,0.0,1.0
2019-03-12,102525.32745751308,0.0003577092429374318,0.0,0,0.0,0.0,0.0,1.0
2019-03-13,102537.59568948182,0.00011966050021960939,0.0,0,0.0,0.0,0.0,1.0
2019-03-14,102562.11006839329,0.00023907698192671134,0.0,0,0.0,0.0,0.0,1.0
2019-03-15,102598.77121163023,0.000357453090741755,0.0,0,0.0,0.0,0.0,1.0
2019-03-18,102574.30100277087,-0.00023850391744839605,0.00023850391744839605,0,0.0,0.0,0.0,1.0
2019-03-19,102562.11006839327,-0.00011884979237886117,0.0003573253636861562,0,0.0,0.0,0.0,1.0
2019-03-20,102709.03070416667,0.0014325040278073686,0.0,0,0.0,0.0,0.0,1.0
2019-03-21,102709.03070416667,0.0,0.0,0,0.0,0.0,0.0,1.0
2019-03-22,102880.42154879941,0.0016687027757704698,0.0,0,0.0,0.0,0.0,1.0
2019-03-25,102990.58165871864,0.001070758733885846,0.0,0,0.0,0.0,0.0,1.0
2019-03-26,102978.40176685408,-0.00011826219124511095,0.00011826219124511095,0,0.0,0.0,0.0,1.0
2019-03-27,103064.04749786186,0.0008316863491597548,0.0,0,0.0,0.0,0.0,1.0
2019-03-28,103051.81239343218,-0.00011871360311110912,0.00011871360311110912,0,0.0,0.0,0.0,1.0
2019-03-29,102990.58165871866,-0.0005941742633284175,0.0007128173298717178,0,0.0,0.0,0.0,1.0
2019-04-01,102885.11461683428,-0.001024045501887394,0.001736132874378793,0,0.0,0.0,0.0,1.0
2019-04-02,102934.18754470928,0.0004769681995082653,0.001259992755041739,0,0.0,0.0,0.0,1.0
2019-04-03,102885.11461683427,-0.0004767408093029335,0.001736132874378904,0,0.0,0.0,0.0,1.0
2019-04-04,102909.66212328478,0.00023859142833182467,0.0014979556724693532,0,0.0,0.0,0.0,1.0
2019-04-05,102897.41597634208,-0.00011899900058010004,0.0016167764178215416,0,0.0,0.0,0.0,1.0
2019-04-08,102872.82429983946,-0.0002389921677748985,0.0018553821886955202,0,0.0,0.0,0.0,1.0
2019-04-09,102885.11461683425,0.00011947097864228873,0.001736132874379126,0,0.0,0.0,0.0,1.0
2019-04-10,102970.97015558946,0.0008344796919841357,0.0009031019500213011,0,0.0,0.0,0.0,1.0
2019-04-11,102909.66212328477,-0.0005953914216021428,0.0014979556724695753,0,0.0,0.0,0.0,1.0
2019-04-12,102848.28783590194,-0.0005963899415907248,0.0020934522483643248,0,0.0,0.0,0.0,1.0
2019-04-15,102860.54502535767,0.00011917737974687093,0.001974524360770946,0,0.0,0.0,0.0,1.0
2019-04-16,102848.28783590194,-0.0001191631781914948,0.0020934522483643248,0,0.0,0.0,0.0,1.0
2019-04-17,102885.11461683424,0.00035806897428436457,0.001736132874379237,0,0.0,0.0,0.0,1.0
2019-04-18,102909.66212328475,0.00023859142833182467,0.0014979556724696863,0,0.0,0.0,0.0,1.0
