date,wealth,return,drawdown,action,w_SPY,w_TLT,w_GLD,w_SHY
2018-03-06,100201.43078924419,-0.00024004826964196813,0.0048354581699163734,0,0.0,0.0,0.0,1.0
2018-03-07,100201.43078924419,0.0,0.0048354581699163734,0,0.0,0.0,0.0,1.0
2018-03-08,100225.48974463141,0.00024010590664946818,0.004596513285334836,0,0.0,0.0,0.0,1.0
2018-03-09,100177.39391642273,-0.00047987621044531803,0.005074183738403515,0,0.0,0.0,0.0,1.0
2018-03-12,100225.48974463141,0.00048010660218222867,0.004596513285334836,0,0.0,0.0,0.0,1.0
2018-03-13,100249.46036975562,0.00023916695428760626,0.004358445665130106,0,0.0,0.0,0.0,1.0
2018-03-14,100237.48057783494,-0.0001194998145275239,0.004477424646209038,0,0.0,0.0,0.0,1.0
2018-03-15,100249.4603697556,0.00011951409643984334,0.004358445665130217,0,0.0,0.0,0.0,1.0
2018-03-16,100201.43078924417,-0.00047910063888900734,0.0048354581699164845,0,0.0,0.0,0.0,1.0
2018-03-19,100201.43078924417,0.0,0.0048354581699164845,0,0.0,0.0,0.0,1.0
2018-03-20,100165.38100065342,-0.0003597731919275926,0.00519349169362382,0,0.0,0.0,0.0,1.0
2018-03-21,100237.48057783494,0.000719805350523739,0.004477424646209038,0,0.0,0.0,0.0,1.0
2018-03-22,100285.54328219498,0.00047948835189171035,0.004000083167281732,0,0.0,0.0,0.0,1.0
2018-03-23,100309.52494860208,0.000239133833473959,0.003761905889029693,0,0.0,0.0,0.0,1.0
2018-03-26,100261.53953322215,-0.0004783734685664953,0.0042384797616277226,0,0.0,0.0,0.0,1.0
2018-03-27,100333.58390398929,0.0007185643777518624,0.003522961004448266,0,0.0,0.0,0.0,1.0
2018-03-28,100345.66306745585,0.00012039003289388006,0.0034029951009455495,0,0.0,0.0,0.0,1.0
2018-03-29,100381.64660834936,0.0003585958754321883,0.0030456195255206264,0,0.0,0.0,0.0,1.0
2018-04-02,100410.55268691921,0.00028796178929635374,0.0027585347582723685,0,0.0,0.0,0.0,1.0
2018-04-03,100362.43477614479,-0.00047921169126974306,0.003236424527435222,0,0.0,0.0,0.0,1.0
2018-04-04,100302.24874318668,-0.0005996868558674207,0.0038341705420535943,0,0.0,0.0,0.0,1.0
2018-04-05,100326.31873985677,0.00023997464634839538,0.0035951159994250803,0,0.0,0.0,0.0,1.0
2018-04-06,100410.55268691923,0.0008395996994654542,0.0027585347582722575,0,0.0,0.0,0.0,1.0
2018-04-09,100398.47352345267,-0.00012029774902455603,0.002878500661774863,0,0.0,0.0,0.0,1.0
2018-04-10,100350.33353011249,-0.00047948929551144825,0.00335660974703178,0,0.0,0.0,0.0,1.0
2018-04-11,100350.33353011249,0.0,0.00335660974703178,0,0.0,0.0,0.0,1.0
2018-04-12,100290.21374485164,-0.0005990990079052239,0.003953697813367629,0,0.0,0.0,0.0,1.0
2018-04-13,100266.17687203018,-0.000239673163750731,0.004192423381854993,0,0.0,0.0,0.0,1.0
2018-04-16,100254.152914978,-0.00011992037023134117,0.004311840995122274,0,0.0,0.0,0.0,1.0
2018-04-17,100254.152914978,0.0,0.004311840995122274,0,0.0,0.0,0.0,1.0
2018-04-18,100170.00729817855,-0.0008393230041133792,0.005147544971898399,0,0.0,0.0,0.0,1.0
2018-04-19,100170.00729817855,0.0,0.005147544971898399,0,0.0,0.0,0.0,1.0
2018-04-20,100133.94646830492,-0.000359996278789243,0.005505688153652821,0,0.0,0.0,0.0,1.0
2018-04-23,100121.87834612124,-0.00012051978983462774,0.005625544399108229,0,0.0,0.0,0.0,1.0
2018-04-24,100145.90417765982,0.0002399658489777856,0.0053869284886682856,0,0.0,0.0,0.0,1.0
2018-04-25,100133.9464683049,-0.00011940287975931163,0.005505688153652932,0,0.0,0.0,0.0,1.0
2018-04-26,100157.928134712,0.00023949586781424337,0.005267510875401005,0,0.0,0.0,0.0,1.0
2018-04-27,100182.00917266497,0.00024043067185441913,0.0050283466747252925,0,0.0,0.0,0.0,1.0
2018-04-30,100145.90417765983,-0.0003603939999138328,0.0053869284886680635,0,0.0,0.0,0.0,1.0
2018-05-01,100101.38572510304,-0.0004445359290762285,0.005829069734483716,0,0.0,0.0,0.0,1.0
2018-05-02,100137.51280267393,0.0003609048696897599,0.005470268604446882,0,0.0,0.0,0.0,1.0
2018-05-03,100209.80008166433,0.0007218801123296537,0.0047523373702318406,0,0.0,0.0,0.0,1.0
2018-05-04,100173.65092152769,-0.0003607347795044902,0.005111357816362849,0,0.0,0.0,0.0,1.0
2018-05-07,100173.65092152769,0.0,0.005111357816362849,0,0.0,0.0,0.0,1.0
2018-05-08,100185.67487857987,0.00012003113534908572,0.004991940203095568,0,0.0,0.0,0.0,1.0
2018-05-09,100137.51280267393,-0.0004807281676179054,0.005470268604446882,0,0.0,0.0,0.0,1.0
2018-05-10,100137.51280267393,0.0,0.005470268604446882,0,0.0,0.0,0.0,1.0
2018-05-11,100137.51280267393,0.0,0.005470268604446882,0,0.0,0.0,0.0,1.0
2018-05-14,100137.51280267393,0.0,0.005470268604446882,0,0.0,0.0,0.0,1.0
2018-05-15,100077.28260458431,-0.0006014748759368693,0.006068453251253492,0,0.0,0.0,0.0,1.0
2018-05-16,100077.28260458431,0.0,0.006068453251253492,0,0.0,0.0,0.0,1.0
2018-05-17,100101.38572510303,0.00024084507384114495,0.005829069734483827,0,0.0,0.0,0.0,1.0
2018-05-18,100149.56988357473,0.0004813535609189401,0.005350522017038339,0,0.0,0.0,0.0,1.0
2018-05-21,100149.56988357473,0.0,0.005350522017038339,0,0.0,0.0,0.0,1.0
2018-05-22,100149.56988357473,0.0,0.005350522017038339,0,0.0,0.0,0.0,1.0
2018-05-23,100233.77070678856,0.0008407507222618626,0.004514269750026778,0,0.0,0.0,0.0,1.0
2018-05-24,100294.08923514119,0.0006017785016696475,0.003915207838843471,0,0.0,0.0,0.0,1.0
2018-05-25,100378.32318220363,0.000839869504821511,0.00307862659769087,0,0.0,0.0,0.0,1.0
2018-05-29,100667.29563763927,0.002878833260753888,0.00020865618958376686,0,0.0,0.0,0.0,1.0
2018-05-30,100546.9014891573,-0.0011959608899729801,0.0014043675349145746,0,0.0,0.0,0.0,1.0
2018-05-31,100498.73941325137,-0.00047900109493803633,0.001882695936265666,0,0.0,0.0,0.0,1.0
2018-06-01,100421.57188722969,-0.000767845711023063,0.002649096027288911,0,0.0,0.0,0.0,1.0
2018-06-04,100337.15023835834,-0.0008406724500005236,0.0034875414552418826,0,0.0,0.0,0.0,1.0
2018-06-05,100397.42460157945,0.0006007183090004364,0.002888918176247035,0,0.0,0.0,0.0,1.0
2018-06-06,100361.31960657431,-0.0003596207288028008,0.003247499990189806,0,0.0,0.0,0.0,1.0
2018-06-07,100457.72104736633,0.0009605437749315993,0.002290075581157791,0,0.0,0.0,0.0,1.0
2018-06-08,100433.61792684761,-0.00023993298143165642,0.0025294590979275666,0,0.0,0.0,0.0,1.0
2018-06-11,100397.42460157946,-0.00036037062106542006,0.002888918176246924,0,0.0,0.0,0.0,1.0
2018-06-12,100349.17419541051,-0.0004805940626507743,0.003368123841974713,0,0.0,0.0,0.0,1.0
2018-06-13,100301.0010782217,-0.0004800549439002433,0.0038465619013730024,0,0.0,0.0,0.0,1.0
2018-06-14,100337.15023835833,0.0003604067730933469,0.0034875414552419937,0,0.0,0.0,0.0,1.0
2018-06-15,100385.32335554714,0.00048011247154589043,0.003009103395843815,0,0.0,0.0,0.0,1.0
2018-06-18,100409.5479301775,0.0002413158997811582,0.0027685136405561916,0,0.0,0.0,0.0,1.0
2018-06-19,100445.73021416279,0.0003603470459845326,0.0024091642202838104,0,0.0,0.0,0.0,1.0
2018-06-20,100397.42460157946,-0.00048091255327964433,0.002888918176246924,0,0.0,0.0,0.0,1.0
2018-06-21,100457.72104736634,0.0006005776146764674,0.00229007558115768,0,0.0,0.0,0.0,1.0
2018-06-22,100469.77812826713,0.00012002144559009054,0.0021703289937493597,0,0.0,0.0,0.0,1.0
2018-06-25,100505.92728840378,0.0003598013333969696,0.001811308547618351,0,0.0,0.0,0.0,1.0
2018-06-26,100505.92728840378,0.0,0.001811308547618351,0,0.0,0.0,0.0,1.0
2018-06-27,100566.25685803927,0.0006002588231674988,0.0012121369783880676,0,0.0,0.0,0.0,1.0
2018-06-28,100566.25685803927,0.0,0.0012121369783880676,0,0.0,0.0,0.0,1.0
2018-06-29,100542.13165495479,-0.00023989361678766752,0.0014517398112519064,0,0.0,0.0,0.0,1.0
2018-07-02,100530.10769790263,-0.00011959122861482374,0.0015711574245190763,0,0.0,0.0,0.0,1.0
2018-07-03,100566.35622958514,0.0003605738868941444,0.001211150055964394,0,0.0,0.0,0.0,1.0
2018-07-05,100554.19977713846,-0.0001208799135461458,0.001331883565796499,0,0.0,0.0,0.0,1.0
2018-07-06,100578.40226920307,0.00024069101159618356,0.0010915131266030498,0,0.0,0.0,0.0,1.0
2018-07-09,100518.0616582847,-0.0005999360653679009,0.0016907943538804204,0,0.0,0.0,0.0,1.0
2018-07-10,100505.905205838,-0.00012093799110468595,0.0018115278637126364,0,0.0,0.0,0.0,1.0
2018-07-11,100542.07644854039,0.00035989171609673853,0.0014522881014875644,0,0.0,0.0,0.0,1.0
2018-07-12,100530.1076979026,-0.00011904220661207443,0.0015711574245194093,0,0.0,0.0,0.0,1.0
2018-07-13,100554.19977713843,0.000239650387207746,0.001331883565796832,0,0.0,0.0,0.0,1.0
2018-07-16,100530.1076979026,-0.00023959296866005175,0.0015711574245194093,0,0.0,0.0,0.0,1.0
2018-07-17,100518.06165828467,-0.000119825193603873,0.0016907943538807535,0,0.0,0.0,0.0,1.0
2018-07-18,100505.90520583797,-0.00012093799110468595,0.0018115278637129695,0,0.0,0.0,0.0,1.0
2018-07-19,100554.19977713842,0.0004805147637996221,0.001331883565796943,0,0.0,0.0,0.0,1.0
2018-07-20,100554.19977713842,0.0,0.001331883565796943,0,0.0,0.0,0.0,1.0
2018-07-23,100493.87020750293,-0.0005999706602927146,0.0019310551350272265,0,0.0,0.0,0.0,1.0
2018-07-24,100505.90520583797,0.00011975853164170047,0.0018115278637129695,0,0.0,0.0,0.0,1.0
2018-07-25,100469.6345915897,-0.0003608804296025836,0.002171754548361826,0,0.0,0.0,0.0,1.0
2018-07-26,100469.6345915897,0.0,0.002171754548361826,0,0.0,0.0,0.0,1.0
2018-07-27,100481.7800027535,0.00012088638734653046,0.0020511306965769194,0,0.0,0.0,0.0,1.0
2018-07-30,100481.7800027535,0.0,0.0020511306965769194,0,0.0,0.0,0.0,1.0
2018-07-31,100481.7800027535,0.0,0.0020511306965769194,0,0.0,0.0,0.0,1.0
2018-08-01,100491.45216655305,9.625788674605396e-05,0.0019550702473370984,0,0.0,0.0,0.0,1.0
2018-08-02,100551.93631414881,0.0006018835064252048,0.0013543634654477055,0,0.0,0.0,0.0,1.0
2018-08-03,100564.03756018111,0.00012034821482198588,0.0012341782458510364,0,0.0,0.0,0.0,1.0
2018-08-06,100588.20692839708,0.0002403380850883874,0.0009941367807989598,0,0.0,0.0,0.0,1.0
2018-08-07,100551.93631414878,-0.00036058515561476767,0.0013543634654479275,0,0.0,0.0,0.0,1.0
2018-08-08,100564.03756018108,0.00012034821482198588,0.0012341782458512585,0,0.0,0.0,0.0,1.0
2018-08-09,100624.53274905971,0.0006015588708083719,0.0006333618059148893,0,0.0,0.0,0.0,1.0
2018-08-10,100721.29855218664,0.0009616521983584203,0.0,0,0.0,0.0,0.0,1.0
2018-08-13,100697.12918397065,-0.0002399628337144133,0.0002399628337144133,0,0.0,0.0,0.0,1.0
2018-08-14,100697.12918397065,0.0,0.0002399628337144133,0,0.0,0.0,0.0,1.0
2018-08-15,100745.53416809987,0.00048069875001877094,0.0,0,0.0,0.0,0.0,1.0
2018-08-16,100721.29855218662,-0.00024056268214134313,0.00024056268214145415,0,0.0,0.0,0.0,1.0
2018-08-17,100757.60229028354,0.00036043755013848155,0.0,0,0.0,0.0,0.0,1.0
2018-08-20,100818.13060301082,0.0006007319681238243,0.0,0,0.0,0.0,0.0,1.0
2018-08-21,100793.86186324897,-0.00024071800991254388,0.00024071800991254388,0,0.0,0.0,0.0,1.0
2018-08-22,100818.13060301082,0.00024077596902460918,0.0,0,0.0,0.0,0.0,1.0
2018-08-23,100805.98519184702,-0.00012046852179425915,0.00012046852179425915,0,0.0,0.0,0.0,1.0
2018-08-24,100818.13060301084,0.00012048303620759704,0.0,0,0.0,0.0,0.0,1.0
2018-08-27,100781.81582363104,-0.00036020088016497365,0.00036020088016508467,0,0.0,0.0,0.0,1.0
2018-08-28,100745.53416809988,-0.0003600020026891526,0.0007200732098159301,0,0.0,0.0,0.0,1.0
2018-08-29,100733.47708719909,-0.00011967856441830182,0.0008396655969061806,0,0.0,0.0,0.0,1.0
2018-08-30,100805.98519184702,0.0007198014676408349,0.00012046852179437018,0,0.0,0.0,0.0,1.0
2018-08-31,100830.16560134587,0.0002398707720858706,0.0,0,0.0,0.0,0.0,1.0
2018-09-04,100807.22181552915,-0.0002275488260867764,0.0002275488260867764,0,0.0,0.0,0.0,1.0
2018-09-05,100807.22181552915,0.0,0.0002275488260867764,0,0.0,0.0,0.0,1.0
2018-09-06,100843.58076004044,0.0003606779738243304,0.0,0,0.0,0.0,0.0,1.0
2018-09-07,100734.52600907232,-0.001081424817982457,0.001081424817982346,0,0.0,0.0,0.0,1.0
2018-09-10,100746.57204869023,0.00011958203502970832,0.0009619721019332728,0,0.0,0.0,0.0,1.0
2018-09-11,100685.99957083145,-0.0006012361177857306,0.001562629847347008,0,0.0,0.0,0.0,1.0
2018-09-12,100685.99957083145,0.0,0.001562629847347008,0,0.0,0.0,0.0,1.0
2018-09-13,100698.08977558088,0.00012007831079752229,0.0014427391745018836,0,0.0,0.0,0.0,1.0
2018-09-14,100661.7749962011,-0.00036063027075006193,0.0018028491498328636,0,0.0,0.0,0.0,1.0
2018-09-17,100637.53938028787,-0.0002407628507856696,0.0020431779415176488,0,0.0,0.0,0.0,1.0
2018-09-18,100625.41605168981,-0.00012046527242925986,0.0021633970819595616,0,0.0,0.0,0.0,1.0
2018-09-19,100601.15835321082,-0.00024106929870015836,0.0024039448520423168,0,0.0,0.0,0.0,1.0
2018-09-20,100637.53938028787,0.00036163626416030326,0.0020431779415176488,0,0.0,0.0,0.0,1.0
2018-09-21,100613.27064052601,-0.00024114997158419804,0.0022838352007993334,0,0.0,0.0,0.0,1.0
2018-09-24,100613.27064052601,0.0,0.0022838352007993334,0,0.0,0.0,0.0,1.0
2018-09-25,100625.41605168983,0.00012071380928668773,0.0021633970819594506,0,0.0,0.0,0.0,1.0
2018-09-26,100637.53938028788,0.00012047978605944643,0.0020431779415175377,0,0.0,0.0,0.0,1.0
2018-09-27,100637.53938028788,0.0,0.0020431779415175377,0,0.0,0.0,0.0,1.0
