date,wealth,return,drawdown,action,w_SPY,w_TLT,w_GLD,w_SHY
2021-01-05,100302.02365959309,0.0040242608567877,0.0,3,0.8022810932456224,0.19771890675437767,0.0,0.0
2021-01-06,100376.01247351407,0.0007376602307853809,0.0,3,0.8064825767883923,0.19351742321160773,0.0,0.0
2021-01-07,101407.53914217054,0.01027662529360449,0.0,3,0.8101395058926576,0.18986049410734232,0.0,0.0
2021-01-08,101813.4901467012,0.004003163945843633,0.0,3,0.8115068365762736,0.18849316342372643,0.0,0.0
2021-01-11,101224.8463151017,-0.005781589755457031,0.005781589755456951,3,0.8107240391009859,0.18927596089901405,0.0,0.0
2021-01-12,101123.6214687866,0.0,0.006775808165701558,0,0.0,0.0,0.0,1.0
2021-01-13,101111.9204829122,-0.0001157097194943,0.006890733858333609,0,0.0,0.0,0.0,1.0
2021-01-14,101123.62146878662,0.000115723109783,0.006775808165701447,0,0.0,0.0,0.0,1.0
2021-01-15,101135.38414702944,0.0001163197883142,0.006660276537958643,0,0.0,0.0,0.0,1.0
2021-01-19,101170.47682259128,0.0003469871188783,0.00631560044924695,0,0.0,0.0,0.0,1.0
2021-01-20,101737.8570706848,0.00661477503990104,0.000742859083874059,5,0.2014352674420653,0.5966439352997137,0.20192079725822093,0.0
2021-01-21,101317.64538643924,-0.004130337480507351,0.004870128305664578,5,0.20245512341444008,0.5949137846557436,0.20263109192981624,0.0
2021-01-22,101278.50959354381,-0.0003862682827473414,0.0052545154123145865,5,0.20181649765590015,0.5970700706852403,0.2011134316588595,0.0
2021-01-25,102089.3578935162,0.00800612393711668,0.0,5,0.2010031822873524,0.5993086304901016,0.19968818722254594,0.0
2021-01-26,101891.50730754717,-0.0019380138150676873,0.0019380138150676407,5,0.20107910821280484,0.5993392622413009,0.19958162954589434,0.0
2021-01-27,99891.24881551405,-0.01904374304000688,0.02153122640162819,3,0.7955989000172984,0.20440109998270167,0.0,0.0
2021-01-28,100461.86847363914,0.005712408893585419,0.015941812677229272,3,0.797883358293267,0.2021166417067331,0.0,0.0
2021-01-29,98735.01758572471,-0.017189117763298987,0.03285690474505887,3,0.7955856106157194,0.20441438938428064,0.0,0.0
2021-02-01,100065.93879489442,0.013479728283981618,0.019820078609293357,3,0.7980706135027186,0.2019293864972814,0.0,0.0
2021-02-02,101064.8929066125,0.009982958474667842,0.010034983156346766,3,0.8013556084282808,0.19864439157171923,0.0,0.0
2021-02-03,100975.50509581843,0.0001156560952795,0.010910567180367203,0,0.0,0.0,0.0,1.0
2021-02-04,100975.50509581843,0.0,0.010910567180367203,0,0.0,0.0,0.0,1.0
2021-02-05,100998.85926004351,0.000231285440988,0.01068180519472095,0,0.0,0.0,0.0,1.0
2021-02-08,100987.22322215633,-0.0001152095971422,0.010795784145389953,0,0.0,0.0,0.0,1.0
2021-02-09,100963.8280137059,-0.0002316650334959,0.011024948173190219,0,0.0,0.0,0.0,1.0
2021-02-10,100975.50509581844,0.0001156560952795,0.010910567180367092,0,0.0,0.0,0.0,1.0
2021-02-11,100975.50509581844,0.0,0.010910567180367092,0,0.0,0.0,0.0,1.0
2021-02-12,100987.22322215633,0.0001160491975431,0.010795784145389953,0,0.0,0.0,0.0,1.0
2021-02-16,100952.08936525536,-0.0003479039801271,0.011139932229244254,0,0.0,0.0,0.0,1.0
2021-02-17,100975.50509581846,0.0002319489443984,0.010910567180366981,0,0.0,0.0,0.0,1.0
2021-02-18,100975.50509581846,0.0,0.010910567180366981,0,0.0,0.0,0.0,1.0
2021-02-19,100987.22322215635,0.0001160491975431,0.010795784145389842,0,0.0,0.0,0.0,1.0
2021-02-22,100963.82801370592,-0.0002316650334959,0.011024948173190108,0,0.0,0.0,0.0,1.0
2021-02-23,100975.50509581846,0.0001156560952795,0.010910567180366981,0,0.0,0.0,0.0,1.0
2021-02-24,100952.08936525536,-0.0002318951565617,0.011139932229244254,0,0.0,0.0,0.0,1.0
2021-02-25,100800.10259877834,-0.0015055336391021,0.012628694325637846,0,0.0,0.0,0.0,1.0
2021-02-26,100928.72493997395,0.0012760139908545,0.011368794725428955,0,0.0,0.0,0.0,1.0
2021-03-01,100919.37711765013,-9.261805625093712e-05,0.011460359826010458,0,0.0,0.0,0.0,1.0
2021-03-02,100942.76206504421,0.0002317191015439,0.01123129630874875,0,0.0,0.0,0.0,1.0
2021-03-03,100884.28430497451,-0.0005793160289395,0.011804105867710746,0,0.0,0.0,0.0,1.0
2021-03-04,99655.6551154225,-0.01118978824901458,0.023838946862925203,3,0.7990411080306,0.20095889196939992,0.0,0.0
2021-03-05,101159.56157142424,0.015091029748988221,0.009107671370230053,3,0.8016431743155147,0.19835682568448543,0.0,0.0
2021-03-08,100599.7967132485,-0.0055334844228295006,0.014590758635404155,3,0.80209031115875,0.19790968884125013,0.0,0.0
2021-03-09,102027.76303171286,0.014194524890886686,0.0006033426311444767,3,0.8021559733643567,0.1978440266356432,0.0,0.0
2021-03-10,102577.63908297473,0.005389474736312197,0.0,3,0.8028222757354391,0.19717772426456087,0.0,0.0
