date,wealth,return,drawdown,action,w_SPY,w_TLT,w_GLD,w_SHY
2020-01-03,99143.53053325962,-0.007572266934338212,0.008564694667403838,6,1.0,0.0,0.0,0.0
2020-01-06,99521.77041429144,0.0038150737521389644,0.004782295857085561,6,1.0,0.0,0.0,0.0
2020-01-07,99241.92293759891,-0.0028119222108647923,0.0075807706240108574,6,1.0,0.0,0.0,0.0
2020-01-08,99770.8451697775,0.005329624986319281,0.0022915483022249994,6,1.0,0.0,0.0,0.0
2020-01-09,100447.37145144993,0.006780801350546817,0.0,6,1.0,0.0,0.0,0.0
2020-01-10,100370.63665520825,0.0002363059498551312,0.0007639303560946775,0,0.0,0.0,0.0,1.0
2020-01-13,100358.76986602001,-0.00011822968931640698,0.0008820697261624488,0,0.0,0.0,0.0,1.0
2020-01-14,100370.63665520825,0.00011824366922863483,0.0007639303560946775,0,0.0,0.0,0.0,1.0
2020-01-15,100418.05130404445,0.00047239561704759403,0.0002918956163989739,0,0.0,0.0,0.0,1.0
2020-01-16,100418.05130404445,0.0,0.0002918956163989739,0,0.0,0.0,0.0,1.0
2020-01-17,100453.53615419229,0.00035337122844980584,0.0,0,0.0,0.0,0.0,1.0
2020-01-21,100477.28023415212,0.00023636878171595654,0.0,0,0.0,0.0,0.0,1.0
2020-01-22,100500.96130461185,0.00023568582275057537,0.0,0,0.0,0.0,0.0,1.0
2020-01-23,100536.54066900986,0.00035402014006780114,0.0,0,0.0,0.0,0.0,1.0
2020-01-24,100572.07802707446,0.0003534770326103498,0.0,0,0.0,0.0,0.0,1.0
2020-01-27,100678.73210760167,0.0010604740661568357,0.0,0,0.0,0.0,0.0,1.0
2020-01-28,100631.29645559877,-0.0004711586152297276,0.00047115861522961655,0,0.0,0.0,0.0,1.0
2020-01-29,100726.16775960456,0.0009427614206247714,0.0,0,0.0,0.0,0.0,1.0
2020-01-30,100737.96103770933,0.00011708256520703841,0.0,0,0.0,0.0,0.0,1.0
2020-01-31,100868.34869661303,0.0012943249750199115,0.0,0,0.0,0.0,0.0,1.0
2020-02-03,100838.61871414231,-0.00029474044985244863,0.00029474044985244863,0,0.0,0.0,0.0,1.0
2020-02-04,100731.85961778158,-0.0010587124032646056,0.0013531408077470664,0,0.0,0.0,0.0,1.0
2020-02-05,100660.61687631873,-0.00070725132776428,0.0020594351248784948,0,0.0,0.0,0.0,1.0
2020-02-06,100684.36095627857,0.00023588251986383924,0.0018240383897614176,0,0.0,0.0,0.0,1.0
2020-02-07,100743.69490221975,0.0005893064759774358,0.0012358068314195503,0,0.0,0.0,0.0,1.0
2020-02-10,101394.31707562138,0.007465658143868348,0.0,6,1.0,0.0,0.0,0.0
2020-02-11,101570.03507584406,0.0017330162605821986,0.0,6,1.0,0.0,0.0,0.0
2020-02-12,102224.43349539883,0.0064428295123273305,0.0,6,1.0,0.0,0.0,0.0
