date,SPY,TLT,GLD,SHY
2004-11-01,76.00756072998047,43.605106353759766,,54.08377456665039
2004-11-02,76.03437805175781,43.66914749145508,,54.11016845703125
2004-11-03,76.99191284179688,43.6888542175293,,54.103546142578125
2004-11-04,78.04318237304688,43.7331657409668,,54.05739974975586
2004-11-05,78.53199768066406,43.2553596496582,,53.918800354003906
2004-11-08,78.41817474365234,43.10268020629883,,53.89240646362305
2004-11-09,78.26412963867188,43.07801055908203,,53.93198776245117
2004-11-10,78.32440948486328,42.91548538208008,,53.86600875854492
2004-11-11,78.92037200927734,42.8218994140625,,53.90561294555664
2004-11-12,79.54310607910156,43.284942626953125,,53.89240646362305
2004-11-15,79.73853302001953,43.3243522644043,,53.89240646362305
2004-11-16,79.16769409179688,43.3243522644043,,53.852848052978516
2004-11-17,79.63780975341797,43.69377517700195,,53.93198776245117
2004-11-18,79.74523162841797,43.82680892944336,44.380001068115234,53.92539978027344
2004-11-19,78.85877227783203,43.477046966552734,44.779998779296875,53.839622497558594
2004-11-22,79.23484802246094,43.70363998413086,44.95000076293945,53.852848052978516
2004-11-23,79.35572814941406,43.75782775878906,44.75,53.8462028503418
2004-11-24,79.54378509521484,43.75782775878906,45.04999923706055,53.839622497558594
2004-11-26,79.48332977294922,43.47213363647461,45.290000915527344,53.78688049316406
2004-11-29,79.12064361572266,43.00907897949219,45.400001525878906,53.79341125488281
2004-11-30,79.17440032958984,42.82683181762695,45.119998931884766,53.80669021606445
2004-12-01,80.07430267333984,42.76001739501953,45.380001068115234,53.84296798706055
2004-12-02,80.14149475097656,42.58694076538086,44.95000076293945,53.82312774658203
2004-12-03,80.08776092529297,43.249698638916016,45.599998474121094,53.942161560058594
2004-12-06,80.0609130859375,43.398094177246094,45.16999816894531,53.94874572753906
2004-12-07,79.3154296875,43.45248031616211,45.11000061035156,53.94874572753906
2004-12-08,79.77887725830078,44.130130767822266,44.0099983215332,53.968605041503906
2004-12-09,80.0609130859375,43.8383674621582,43.779998779296875,53.961944580078125
2004-12-10,80.14149475097656,43.947105407714844,43.439998626708984,53.968605041503906
2004-12-13,80.83995819091797,44.0411262512207,43.90999984741211,53.928951263427734
2004-12-14,81.12201690673828,44.2142333984375,43.54999923706055,53.942161560058594
2004-12-15,81.18246459960938,44.61487579345703,43.9900016784668,53.995025634765625
2004-12-16,81.13548278808594,43.95698928833008,43.68000030517578,53.93553161621094
2004-12-17,80.59428405761719,43.897674560546875,44.189998626708984,53.91567611694336
2004-12-20,80.61454010009766,43.976837158203125,44.34000015258789,53.91567611694336
2004-12-21,81.2353286743164,44.11037063598633,44.220001220703125,53.922332763671875
2004-12-22,81.4310302734375,43.961936950683594,44.02000045776367,53.922332763671875
2004-12-23,81.49172973632812,43.81854248046875,44.27000045776367,53.909061431884766
2004-12-27,81.32307434082031,43.47724533081055,44.47999954223633,53.876041412353516
2004-12-28,81.7684097290039,43.44263458251953,44.369998931884766,53.89589309692383
2004-12-29,81.88984680175781,43.398094177246094,43.65999984741211,53.88924026489258
2004-12-30,81.73468017578125,43.689945220947266,43.83000183105469,53.909061431884766
2004-12-31,81.5592269897461,43.965450286865234,43.79999923706055,53.93164825439453
2005-01-03,81.1745834350586,44.059791564941406,43.02000045776367,53.93820571899414
2005-01-04,80.18268585205078,43.59804153442383,42.7400016784668,53.819000244140625
2005-01-05,79.6293716430664,43.8314208984375,42.66999816894531,53.832279205322266
2005-01-06,80.03425598144531,43.861244201660156,42.150001525878906,53.85869598388672
2005-01-07,79.91954040527344,43.96052169799805,41.84000015258789,53.86538314819336
2005-01-10,80.29741668701172,44.03003692626953,41.95000076293945,53.832279205322266
2005-01-11,79.74409484863281,44.288204193115234,42.209999084472656,53.845558166503906
2005-01-12,80.00723266601562,44.34779357910156,42.599998474121094,53.85213851928711
2005-01-13,79.3662109375,44.7747917175293,42.599998474121094,53.91837692260742
2005-01-14,79.78458404541016,44.76982879638672,42.31999969482422,53.891841888427734
2005-01-18,80.61454010009766,44.91878128051758,42.31999969482422,53.87196731567383
2005-01-19,79.77110290527344,45.04786682128906,42.2599983215332,53.87861251831055
2005-01-20,79.28528594970703,45.137245178222656,42.25,53.92496871948242
2005-01-21,78.79942321777344,45.186885833740234,42.7400016784668,53.97796630859375
2005-01-24,78.64424896240234,45.38053512573242,42.77000045776367,53.944847106933594
2005-01-25,78.86688995361328,44.95351028442383,42.2400016784668,53.92496871948242
2005-01-26,79.10305786132812,45.03791809082031,42.689998626708984,53.9051513671875
2005-01-27,79.23802947998047,44.95351028442383,42.619998931884766,53.891841888427734
2005-01-28,79.23802947998047,45.40535354614258,42.689998626708984,53.91837692260742
2005-01-31,79.7305908203125,45.5344123840332,42.220001220703125,53.911773681640625
2005-02-01,80.23667907714844,45.46219253540039,42.099998474121094,53.92570495605469
