date,SPY_ret5,SPY_mom63,SPY_vol20,SPY_vol60,SPY_ma_ratio,TLT_ret5,TLT_mom63,TLT_vol20,TLT_vol60,TLT_ma_ratio,GLD_ret5,GLD_mom63,GLD_vol20,GLD_vol60,GLD_ma_ratio,SHY_ret5,SHY_mom63,SHY_vol20,SHY_vol60,SHY_ma_ratio,spy_tlt_corr60,rf_level,rf_chg20
2005-09-06,0.44157966019102457,-0.013933454179441203,-0.5144342291436562,-0.6727957223452758,0.015595209152952386,0.5014103589977159,-0.18587256257576318,-1.1205675317041992,-0.8459483888924507,0.4114042299268023,0.4705687110782945,0.1968649765108019,-0.49967242182604615,-0.971552999976697,-0.363255251943814,3.7258588065941027,0.22531658316004877,0.2834458259425898,0.21083527421958054,-0.2102218147048433,1.5270904550722195,1.3606888179358636,-0.22691566578081487
2005-09-07,0.6098247016676,0.1329886415359838,-0.43972810134815005,-0.6462872319015303,0.023529352993768585,0.058513779852432064,-0.4101904055009451,-1.0108555990775994,-0.8840413820047226,0.39707470106471027,0.5222696034682973,0.2310180320277444,-0.5267404049541607,-0.9869419702239534,-0.36044789050189274,2.641243804505498,-0.007317168132299196,0.41975658369798463,0.2564876245661404,-0.20850452908797487,1.3094033499210933,1.3802347846829024,-0.02066213489574228
2005-09-08,0.9078179864745525,0.18099168788906095,-0.4566954068704285,-0.6474966291343395,0.030557358072414442,-0.7702752418437779,-0.47968942175054585,-0.8386027782227637,-0.8578776011268985,0.37776563562585,1.0659918928224783,0.25904186009205465,-0.5278428803375039,-0.9894368664724058,-0.35668557240705717,1.340634354330878,-0.06962673127531759,0.47193202950312313,0.2723943082848179,-0.21039742666945363,1.3207570329508984,1.3772732061017798,-0.07959204966076404
2005-09-09,0.23200440594611638,0.07163883739595779,-0.4502152614862452,-0.6450643801656379,0.03457252406397676,-1.1491887774154477,-0.4515333840237568,-0.8461390797214889,-0.8794979598538955,0.36231601517606393,0.9529338976898019,0.3537121601890719,-0.5350532063133229,-0.9881085947395886,-0.34794455833467486,-0.4590073256023469,-0.05431529546283151,0.5074004536803194,0.2796237679995297,-0.21011387995885572,1.33654257446166,1.3731271090599275,-0.10905700705564943
2005-09-12,0.6395106038488889,0.2238208089378915,-0.4166721464458676,-0.6301398245674045,0.04164532938180451,-0.669405214436785,-0.2347325295573428,-0.8896619469473755,-0.8763506245725731,0.34869626911995416,0.44622628399396574,0.31835000426103954,-0.7230314560788585,-0.9841049160445788,-0.33955883756376687,-1.0191904669555065,0.08536075661770506,0.4983168321106886,0.27759958273045954,-0.21008150265440484,1.382343379517467,1.3725348498303087,-0.05503752823212957
2005-09-13,0.6305183799773624,0.15339359206714098,-0.4368721512859369,-0.6296572137924381,0.05009742447311662,-1.0738207487028757,-0.24848054254514365,-0.9409026297379339,-0.8638041204150186,0.32901448130861166,0.46267727922506247,0.2861051150755905,-0.722870400656113,-1.056276800094007,-0.32903507532251564,-1.952273690299805,0.038737905514944784,0.47020132268521714,0.26869840965446395,-0.21256812725947186,1.3976055440640751,1.3831962220490026,-0.020663305712989747
2005-09-14,-0.09617352327909746,0.046592150975533375,-0.4376965256724237,-0.6243753953017733,0.05625556872916396,-0.4328917313965849,-0.06956652744218345,-0.9186786846834196,-0.8507007500900998,0.3156300149723901,0.1684984081496382,0.24748909067260622,-0.7313624974060766,-1.0423752748599835,-0.3146035844956992,-0.6604901418082088,0.08542009782750197,0.441960779134229,0.2742137289851297,-0.20691469750501107,1.3418427902039387,1.3766809468706687,-0.04521665632437335
2005-09-15,-0.31940400784323436,-0.028038975929655596,-0.5297444630678357,-0.621066347113396,0.05871172431373425,-0.13749947957774283,-0.15538633156726303,-0.9598722400939094,-0.844763313553604,0.3040450224733278,0.4533182178508858,0.316644114942626,-0.7379985427180173,-1.0220830143383988,-0.29489314693607804,-0.3007380130391466,0.10093393138757864,0.4494116972815056,0.27269727868054655,-0.2021045132599633,1.371323437596167,1.341735110419936,-0.45772254727727446
2005-09-16,-0.201400254327466,-0.06882934647290344,-0.5293992943983162,-0.620970833298636,0.06371276303483346,-0.6275006358202009,-0.3547017705416452,-0.9228869651187307,-0.8387755042249477,0.2871033826076957,0.6085069286101046,0.23687488487606417,-0.8517947126158669,-0.9986617186416732,-0.2730369043487082,-0.15641273852883222,-0.038711670398632256,0.4646368370136995,0.2751626396163319,-0.19931828066869745,1.3784145628714868,1.3476581263671583,-0.3251314098484816
2005-09-19,-0.2757987944994181,-0.023425902973655762,-0.5040855401344946,-0.6111878850790499,0.07005621045135375,-1.1367386654503318,-0.45133748762958886,-0.9566082508003886,-0.8958809853425425,0.26706251584078816,0.7375113191855607,0.296277758304397,-0.8275864565832122,-0.9829613651312037,-0.24938357522748386,-0.7321847591087625,-0.11634973371537952,0.49185423900200537,0.1828634109528333,-0.19994681663497563,1.2849804962045115,1.3796423842367689,0.06281995966341561
